average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
53.78, (INDIA),248*,329,200,SR Tendulkar,33,15921,1989-2013
51.85, (AUS),257,287,168,RT Ponting,29,13378,1995-2012
55.37, (ICC/SA),224,280,166,JH Kallis,40,13289,1995-2013
52.31, (ICC/INDIA),270,286,164,R Dravid,32,13288,1996-2012
45.35, (ENG),294,291,161,AN Cook,16,12472,2006-2018
57.40, (SL),319,233,134,KC Sangakkara,17,12400,2000-2015
52.88, (ICC/WI),400*,232,131,BC Lara,6,11953,1990-2006
51.37, (WI),203*,280,164,S Chanderpaul,49,11867,1994-2015
49.84, (SL),374,252,149,DPMD Jayawardene,15,11814,1997-2014
50.56, (AUS),205,265,156,AR Border,44,11174,1978-1994
51.06, (AUS),200,260,168,SR Waugh,46,10927,1985-2004
51.12, (INDIA),236*,214,125,SM Gavaskar,16,10122,1971-1987
52.05, (PAK),313,213,118,Younis Khan,19,10099,2000-2017
46.64, (SA),311*,215,124,HM Amla,16,9282,2004-2019
48.25, (ICC/SA),277,205,117,GC Smith,13,9265,2002-2014
42.58, (ENG),333,215,118,GA Gooch,6,8900,1975-1995
52.57, (PAK),280*,189,124,Javed Miandad,21,8832,1976-1993
49.60, (ICC/PAK),329,200,120,Inzamam-ul-Haq,22,8830,1992-2007
45.97, (INDIA),281,225,134,VVS Laxman,34,8781,1996-2012
50.66, (SA),278*,191,114,AB de Villiers,18,8765,2004-2018
49.10, (AUS),329*,198,115,MJ Clarke,22,8643,2004-2015
50.73, (AUS),380,184,103,ML Hayden,14,8625,1994-2009
49.34, (ICC/INDIA),319,180,104,V Sehwag,6,8586,2001-2013
50.23, (WI),291,182,121,IVA Richards,12,8540,1974-1991
39.54, (ENG),190,235,133,AJ Stewart,21,8463,1990-2003
44.25, (ENG),215,204,117,DI Gower,18,8231,1978-1992
47.28, (ENG),227,181,104,KP Pietersen,8,8181,2005-2014
47.72, (ENG),246*,193,108,G Boycott,23,8114,1964-1982
57.78, (WI),365*,160,93,GS Sobers,21,8032,1954-1974
41.81, (AUS),153*,209,128,ME Waugh,17,8029,1991-2002
37.69, (ENG),185*,212,115,MA Atherton,7,7728,1989-2001
42.69, (ENG),235,205,118,IR Bell,24,7727,2004-2015
45.27, (AUS),250,182,105,JL Langer,12,7696,1993-2007
44.06, (ENG),182,188,114,MC Cowdrey,15,7624,1954-1975
48.40, (ENG),254,169,92,JE Root,12,7599,2012-2020
44.72, (WI),226,185,108,CG Greenidge,16,7558,1974-1991
52.29, (PAK),223,156,90,Mohammad Yousuf,12,7530,1998-2010
43.49, (AUS),334*,186,104,MA Taylor,13,7525,1989-1999
46.67, (WI),242*,175,110,CH Lloyd,14,7515,1966-1985
42.29, (WI),184,202,116,DL Haynes,25,7487,1978-1994
43.65, (AUS),200,190,107,DC Boon,20,7422,1984-1996
45.27, (SA),275,176,101,G Kirsten,15,7289,1993-2004
58.45, (ENG),336*,140,85,WR Hammond,16,7249,1927-1947
48.94, (AUS),335*,155,84,DA Warner,7,7244,2011-2020
53.62, (INDIA),254*,145,86,V Kohli,10,7240,2011-2020
46.10, (NZ),290,178,101,LRPL Taylor,21,7238,2007-2020
62.84, (AUS),239,131,73,SPD Smith,16,7227,2010-2020
42.18, (WI),333,182,103,CH Gayle,11,7214,2000-2014
42.17, (INDIA),239,188,113,SC Ganguly,17,7212,1996-2008
40.06, (NZ),274*,189,111,SP Fleming,10,7172,1994-2008
53.86, (AUS),247*,151,87,GS Chappell,19,7110,1970-1984
40.91, (ENG),177,178,100,AJ Strauss,6,7037,2004-2012
99.94, (AUS),334,80,52,DG Bradman,10,6996,1928-1948
40.07, (SL),340,188,110,ST Jayasuriya,14,6973,1991-2007
56.67, (ENG),364,138,79,L Hutton,15,6971,1937-1955
42.13, (INDIA),166,185,116,DB Vengsarkar,22,6868,1976-1992
58.67, (ENG),256,131,82,KF Barrington,15,6806,1955-1968
44.66, (ENG),200*,179,100,GP Thorpe,28,6744,1993-2005
50.99, (NZ),242*,140,80,KS Williamson,13,6476,2010-2020
38.64, (NZ),302,176,101,BB McCullum,9,6453,2004-2016
42.97, (SL),267,159,93,PA de Silva,11,6361,1984-2002
51.52, (AUS),195,137,79,MEK Hussey,16,6235,2005-2013
47.53, (WI),256,137,79,RB Kanhai,6,6227,1957-1974
45.03, (INDIA),199,147,99,M Azharuddin,9,6215,1984-2000
41.95, (SA),228,154,90,HH Gibbs,7,6167,1996-2008
48.41, (AUS),205,137,79,RN Harvey,10,6149,1948-1963
41.93, (INDIA),222,155,91,GR Viswanath,10,6080,1969-1983
45.31, (SL),200*,154,86,AD Mathews,22,5981,2009-2020
44.39, (WI),194,146,86,RB Richardson,12,5949,1983-1995
42.58, (PAK),302*,147,78,Azhar Ali,8,5919,2010-2020
40.01, (WI),291,154,87,RR Sarwan,8,5842,2000-2011
48.66, (INDIA),206*,128,77,CA Pujara,8,5840,2010-2020
43.79, (ENG),219,143,76,ME Trescothick,10,5825,2000-2006
50.06, (ENG),278,131,78,DCS Compton,15,5807,1937-1957
43.69, (PAK),237,154,103,Saleem Malik,22,5768,1982-1999
37.18, (ENG),207,171,96,N Hussain,16,5764,1990-2004
36.46, (WI),233,173,102,CL Hooper,15,5762,1987-2002
41.44, (ENG),197,147,82,MP Vaughan,9,5719,1999-2008
47.60, (AUS),204*,137,96,AC Gilchrist,20,5570,1999-2008
30.30, (ICC/SA),125,206,147,MV Boucher,24,5515,1997-2012
39.02, (SL),249,156,90,MS Atapattu,15,5502,1990-2007
40.98, (SL),193,145,87,TM Dilshan,11,5492,1999-2013
48.76, (SL),231,132,81,TT Samaraweera,20,5462,2001-2013
45.36, (NZ),299,131,77,MD Crowe,11,5444,1982-1995
56.94, (ENG),211,102,61,JB Hobbs,7,5410,1908-1930
48.26, (AUS),250,125,74,KD Walters,14,5357,1965-1981
42.42, (AUS),196,136,75,IM Chappell,10,5345,1964-1980
37.82, (NZ),185,148,82,JG Wright,7,5334,1978-1993
42.83, (AUS),219,131,74,MJ Slater,7,5312,1993-2001
31.05, (INDIA),163,184,131,N Kapil Dev,15,5248,1978-1994
47.15, (AUS),210,123,67,WM Lawry,12,5234,1961-1971
46.62, (PAK),161*,132,75,Misbah-ul-Haq,20,5222,2001-2017
33.54, (ENG),208,161,102,IT Botham,6,5200,1977-1992
43.54, (ENG),310*,127,77,JH Edrich,9,5138,1963-1976
